# pos/mm v1/mV v2/mV v3/mV 
    0   140 115.02 2822.43 114.88 
    1   153 114.72 2835.96 114.83 
    2   166 115.07 2821.92 1612.96 
    3   180 117.30 1493.28 2771.14 
    4   193 115.04 112.36 2686.51 
    5   206 138.42 112.14 2809.18 
    6   220 2904.52 112.22 1504.93 
    7   233 3265.78 112.25 116.22 
    8   246 3338.70 112.20 115.00 
    9   260 2307.27 112.23 114.51 
