# ...
 1 1500000 115.16  112.09  2594.57
 1 1510101 115.16  112.09  2582.24
 1 1520202 115.16  112.09  2583.41
 1 1530303 115.16  112.10  2592.07
 1 1540404 115.16  112.11  2595.81
 1 1550505 115.17  112.12  2604.62
 1 1560606 115.17  112.13  2619.39
 1 1570707 115.18  112.14  2639.85
 1 1580808 115.18  112.15  2662.66
 1 1590909 115.18  112.16  2684.72
 1 1601010 115.18  112.18  2704.58
 1 1611111 115.19  112.21  2720.16
 1 1621212 115.19  112.26  2730.74
 1 1631313 115.19  112.35  2736.83
 1 1641414 115.20  311.18  2736.38
 1 1651515 115.24  932.55  2729.16
 1 1661616 115.26  1209.34  2712.73
 1 1671717 115.27  1415.67  2687.01
 1 1681818 115.29  1602.47  2650.87
 1 1691919 115.30  1779.88  2602.72
 1 1702020 115.31  1949.89  2542.38
 1 1712121 115.32  2112.61  2470.48
 1 1722222 115.33  2268.35  2386.55
 1 1732323 115.34  2415.52  2290.85
 1 1742424 115.34  2550.11  2183.46
 1 1752525 115.35  2669.66  2065.17
 1 1762626 115.35  2774.16  1937.74
 1 1772727 115.36  2866.81  1803.62
 1 1782828 115.36  2948.12  1662.60
 1 1792929 115.36  3022.45  1514.52
 1 1803030 115.36  3081.56  1358.07
 1 1813131 115.35  3119.52  1186.76
 1 1823232 115.35  3170.77  971.41
 1 1833333 115.33  3219.32  458.43
 1 1843434 115.31  3249.74  121.23
 1 1853535 115.31  3265.97  115.39
 1 1863636 115.32  3273.47  115.26
 1 1873737 115.32  3271.11  115.17 
 2 1883838 115.32 3266.21 115.11 
 2 1893939 115.32 3255.08 115.05 
 2 1904040 115.30 3235.18 114.99 
 2 1914141 115.29 3224.83 114.97 
 2 1924242 115.29 3213.40 114.96 
 2 1934343 115.29 3200.54 114.94 
2 1944444 115.29 3201.91 114.93 
 2 1954545 115.29 3209.19 114.93 
 2 1964646 115.29 3212.65 114.92 
 2 1974747 115.30 3221.67 114.92 
 2 1984848 115.30 3234.49 114.92 
 2 1994949 115.30 3252.06 114.92 
 2 2005050 115.30 3269.73 114.91 
 2 2015151 115.31 3287.43 114.91 
